team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Field,Bat,Mumbai Indians,Eden Gardens,Humid,40
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Bat,Field,Royal Challengers Bangalore,Feroz Shah Kotla,Dry,41
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Field,Bat,Kolkata Knight Riders,M Chinnaswamy Stadium,Dry,42
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Humid,43
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,M Chinnaswamy Stadium,Dry,44
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Field,Chennai Super Kings,Punjab Cricket Association Stadium,Dry,45
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Dry,46
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Wankhede Stadium,Humid,47
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Dry,48
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,49
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Dry,50
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Field,Bat,Rajasthan Royals,M Chinnaswamy Stadium,Humid,51
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,52
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,53
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Field,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,54
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Field,Mumbai Indians,Eden Gardens,Humid,55
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,56
