bowler,id,econ,wickets,matches,count,balls_per_wicket,SR
Ankit Sharma,275,1.222797927,13,23,386,29.69230769,36.30769231
YK Pathan,276,1.221742882,42,82,1159,27.5952381,33.71428571
KP Pietersen,277,1.213483146,7,13,178,25.42857143,30.85714286
A Mishra,278,1.212352754,156,147,3141,20.13461538,24.41025641
MF Maharoof,279,1.211627907,27,20,430,15.92592593,19.2962963
RR Powar,280,1.211494253,13,26,435,33.46153846,40.53846154
CK Langeveldt,281,1.209876543,13,7,162,12.46153846,15.07692308
JP Duminy,282,1.208633094,23,49,695,30.2173913,36.52173913
B Kumar,283,1.203402647,133,117,2645,19.88721805,23.93233083
M Kartik,284,1.202923474,31,55,1163,37.51612903,45.12903226
R Tewatia,285,1.200668896,13,18,299,23,27.61538462
SK Warne,286,1.200165426,57,54,1209,21.21052632,25.45614035
BMAJ Mendis,287,1.2,1,2,30,30,36
AG Murtaza,288,1.196226415,9,12,265,29.44444444,35.22222222
WD Parnell,289,1.195578231,26,26,588,22.61538462,27.03846154
Iqbal Abdulla,290,1.19527897,40,48,932,23.3,27.85
S Warrier,291,1.194444444,2,3,72,36,43
M Santner,292,1.193181818,4,4,88,22,26.25
DE Bollinger,293,1.192504259,37,27,587,15.86486486,18.91891892
KH Pandya,294,1.192066806,39,53,958,24.56410256,29.28205128
M Ntini,295,1.184466019,7,9,206,29.42857143,34.85714286
Gurkeerat Singh,296,1.182926829,5,6,82,16.4,19.4
AD Mascarenhas,297,1.179738562,19,13,306,16.10526316,19
DP Nannes,298,1.179372197,28,29,669,23.89285714,28.17857143
SE Bond,299,1.178947368,9,8,190,21.11111111,24.88888889
MA Starc,300,1.177364865,34,26,592,17.41176471,20.5
GR Napier,301,1.173913043,1,1,23,23,27
Shoaib Akhtar,302,1.173913043,5,3,46,9.2,10.8
R Sharma,303,1.173491379,40,44,928,23.2,27.225
SL Malinga,304,1.171526587,170,122,2915,17.14705882,20.08823529
Harbhajan Singh,305,1.170481221,150,157,3408,22.72,26.59333333
M Ali,306,1.163793103,9,14,232,25.77777778,30
C Nanda,307,1.163265306,2,3,49,24.5,28.5
J Botha,308,1.154727794,25,34,698,27.92,32.24
Mohammad Nabi,309,1.149812734,11,13,267,24.27272727,27.90909091
