team1,team2,toss_winner,toss_decision,match_winner,venue,weather,win_by_runs,win_by_wickets,id
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Delhi Daredevils,Feroz Shah Kotla,Dry,0,9,46
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Royal Challengers Bangalore,Wankhede Stadium,Humid,0,5,47
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Dry,0,6,48
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,6,0,49
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Dry,66,0,50
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,M Chinnaswamy Stadium,Humid,0,7,51
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,0,9,52
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,0,4,53
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,13,0,54
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Mumbai Indians,Eden Gardens,Humid,0,7,55
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,10,0,56
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,45,0,57
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Delhi Daredevils,MA Chidambaram Stadium,Humid,0,8,58
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,9,0,59
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Mumbai Indians,Dr DY Patil Sports Academy,Sunny,29,0,60
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,8,61
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,M Chinnaswamy Stadium,Humid,0,6,62
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Dr DY Patil Sports Academy,Sunny,0,7,63
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Feroz Shah Kotla,Humid,0,4,64
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Eden Gardens,Dry,5,0,65
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,M Chinnaswamy Stadium,Sunny,0,9,66
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,18,0,67
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,3,68
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,0,9,69
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Eden Gardens,Humid,23,0,70
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Dry,0,9,71
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,41,0,72
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Sunny,0,8,73
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Kings XI Punjab,Feroz Shah Kotla,Sunny,6,0,74
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,65,0,75
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Chennai Super Kings,Eden Gardens,Sunny,3,0,76
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,M Chinnaswamy Stadium,Humid,0,5,77
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Eden Gardens,Dry,0,6,78
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Kings XI Punjab,Wankhede Stadium,Sunny,1,0,79
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,MA Chidambaram Stadium,Dry,14,0,80
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Feroz Shah Kotla,Dry,0,5,81
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Rajasthan Royals,MA Chidambaram Stadium,Dry,10,0,82
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Kolkata Knight Riders,Eden Gardens,Dry,0,3,83
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,5,84
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field,Rajasthan Royals,Wankhede Stadium,Dry,105,0,85
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Chennai Super Kings,Wankhede Stadium,Dry,0,9,86
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Dr DY Patil Sports Academy,Dry,0,3,87
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Mumbai Indians,Newlands,Dry,19,0,88
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,Newlands,Dry,75,0,89
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Newlands,Humid,0,10,90
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Chennai Super Kings,St George's Park,Dry,92,0,91
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Kingsmead,Dry,11,0,92
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Delhi Daredevils,Kingsmead,Humid,9,0,93
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Rajasthan Royals,Newlands,Dry,0,0,94
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Kings XI Punjab,Kingsmead,Humid,0,7,95
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Bat,Delhi Daredevils,St George's Park,Dry,0,6,96
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Kings XI Punjab,Newlands,Dry,27,0,97
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Mumbai Indians,St George's Park,Dry,92,0,98
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Rajasthan Royals,SuperSport Park,Humid,0,5,99
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Bat,Royal Challengers Bangalore,Kingsmead,Dry,0,5,100
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Kings XI Punjab,Kingsmead,Dry,3,0,101
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Chennai Super Kings,SuperSport Park,Dry,38,0,102
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Mumbai Indians,Buffalo Park,Dry,9,0,103
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,Kingsmead,Humid,8,0,104
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Chennai Super Kings,New Wanderers Stadium,Dry,18,0,105
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Kings XI Punjab,St George's Park,Dry,0,6,106
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Royal Challengers Bangalore,New Wanderers Stadium,Dry,0,9,107
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Rajasthan Royals,Kingsmead,Dry,78,0,108
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Delhi Daredevils,Kingsmead,Dry,0,9,109
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,SuperSport Park,Humid,0,7,110
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Chennai Super Kings,SuperSport Park,Dry,12,0,111
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Delhi Daredevils,Buffalo Park,Dry,0,7,112
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Chennai Super Kings,De Beers Diamond Oval,Dry,0,7,113
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Mumbai Indians,St George's Park,Humid,16,0,114
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,New Wanderers Stadium,Dry,0,7,115
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,SuperSport Park,Dry,0,6,116
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Mumbai Indians,SuperSport Park,Dry,0,8,117
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Royal Challengers Bangalore,Kingsmead,Dry,0,2,118
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Rajasthan Royals,Kingsmead,Humid,2,0,119
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,OUTsurance Oval,Dry,0,6,120
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Chennai Super Kings,St George's Park,Dry,0,7,121
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Delhi Daredevils,OUTsurance Oval,Dry,14,0,122
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Kolkata Knight Riders,SuperSport Park,Dry,0,7,123
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Bat,Royal Challengers Bangalore,New Wanderers Stadium,Dry,0,7,124
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Kingsmead,Humid,0,4,125
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Chennai Super Kings,Kingsmead,Dry,24,0,126
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,SuperSport Park,Dry,0,4,127
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,New Wanderers Stadium,Sunny,0,6,128
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Mumbai Indians,Brabourne Stadium,Sunny,4,0,129
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Punjab Cricket Association Stadium,Humid,0,5,130
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Dry,0,7,131
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Sardar Patel Stadium,Sunny,0,6,132
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,8,133
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Chennai Super Kings,Eden Gardens,Humid,55,0,134
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Mumbai Indians,Feroz Shah Kotla,Humid,98,0,135
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,10,136
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Chennai Super Kings,Feroz Shah Kotla,Sunny,0,5,137
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Rajasthan Royals,Sardar Patel Stadium,Humid,34,0,138
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Royal Challengers Bangalore,Brabourne Stadium,Dry,0,7,139
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Kings XI Punjab,MA Chidambaram Stadium,Sunny,0,0,140
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Mumbai Indians,Brabourne Stadium,Dry,0,7,141
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,36,0,142
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Rajasthan Royals,Punjab Cricket Association Stadium,Humid,31,0,143
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Brabourne Stadium,Dry,0,5,144
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Punjab Cricket Association Stadium,Dry,39,0,145
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Delhi Daredevils,M Chinnaswamy Stadium,Dry,17,0,146
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Rajasthan Royals,Sardar Patel Stadium,Sunny,17,0,147
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,40,0,148
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Brabourne Stadium,Dry,0,4,149
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,0,5,150
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,67,0,151
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Sunny,0,6,152
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,23,0,153
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Kings XI Punjab,Eden Gardens,Humid,0,8,154
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Bat,Delhi Daredevils,Feroz Shah Kotla,Dry,37,0,155
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,24,0,156
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Dry,0,9,157
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Eden Gardens,Dry,14,0,158
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Dry,0,6,159
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,7,160
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Kings XI Punjab,Feroz Shah Kotla,Dry,0,7,161
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Mumbai Indians,Sawai Mansingh Stadium,Dry,37,0,162
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Mumbai Indians,Brabourne Stadium,Dry,39,0,163
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,0,9,164
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Royal Challengers Bangalore,Sawai Mansingh Stadium,Dry,0,5,165
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Delhi Daredevils,MA Chidambaram Stadium,Dry,0,6,166
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Mumbai Indians,M Chinnaswamy Stadium,Sunny,57,0,167
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,0,8,168
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Humid,0,6,169
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Kolkata Knight Riders,Eden Gardens,Dry,0,9,170
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Mumbai Indians,Dr DY Patil Sports Academy,Sunny,35,0,171
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Chennai Super Kings,Dr DY Patil Sports Academy,Sunny,22,0,172
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,2,0,173
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Mumbai Indians,Feroz Shah Kotla,Sunny,0,8,174
Kings XI Punjab,Pune Warriors,Kings XI Punjab,Bat,Pune Warriors,Dr DY Patil Sports Academy,Humid,0,7,175
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Dry,0,6,176
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,M Chinnaswamy Stadium,Sunny,0,9,177
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,0,6,178
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sawai Mansingh Stadium,Sunny,0,9,179
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,21,0,180
Pune Warriors,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Dr DY Patil Sports Academy,Dry,0,3,181
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Sunny,0,8,182
Pune Warriors,Mumbai Indians,Pune Warriors,Bat,Mumbai Indians,Wankhede Stadium,Sunny,0,7,183
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,48,0,184
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Mumbai Indians,Wankhede Stadium,Humid,8,0,185
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Eden Gardens,Dry,0,9,186
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,29,0,187
Chennai Super Kings,Pune Warriors,Pune Warriors,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,25,0,188
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Feroz Shah Kotla,Humid,0,3,189
Pune Warriors,Chennai Super Kings,Pune Warriors,Bat,Chennai Super Kings,Dr DY Patil Sports Academy,Humid,0,8,190
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field,Kolkata Knight Riders,Feroz Shah Kotla,Dry,17,0,191
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,7,192
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,26,0,193
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Dry,0,8,194
Pune Warriors,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,6,195
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Field,Mumbai Indians,Wankhede Stadium,Dry,23,0,196
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,0,8,197
Mumbai Indians,Pune Warriors,Pune Warriors,Field,Mumbai Indians,Dr DY Patil Sports Academy,Dry,21,0,198
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,85,0,199
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Kolkata Knight Riders,Eden Gardens,Dry,10,0,200
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Mumbai Indians,Wankhede Stadium,Humid,32,0,201
Kings XI Punjab,Pune Warriors,Kings XI Punjab,Bat,Pune Warriors,Punjab Cricket Association Stadium,Dry,0,5,202
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Chennai Super Kings,Sawai Mansingh Stadium,Dry,63,0,203
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Dry,76,0,204
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Sawai Mansingh Stadium,Dry,0,9,205
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,18,0,206
