team1,team2,toss_winner,toss_decision,match_winner,venue,weather,win_by_runs,win_by_wickets,id
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,4,207
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dry,29,0,208
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Sunny,111,0,209
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Dr DY Patil Sports Academy,Sunny,0,7,210
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Rajasthan Royals,Wankhede Stadium,Sunny,0,10,211
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,0,8,212
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Eden Gardens,Humid,0,5,213
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Wankhede Stadium,Dry,0,6,214
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Dry,0,4,215
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Royal Challengers Bangalore,MA Chidambaram Stadium,Dry,43,0,216
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,58,0,217
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,MA Chidambaram Stadium,Humid,0,8,218
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Eden Gardens,Dry,0,8,219
Pune Warriors,Mumbai Indians,Mumbai Indians,Field,Pune Warriors,Wankhede Stadium,Humid,28,0,220
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,31,0,221
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,20,0,222
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,22,0,223
Pune Warriors,Kings XI Punjab,Pune Warriors,Bat,Pune Warriors,Subrata Roy Sahara Stadium,Humid,22,0,224
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Kolkata Knight Riders,M Chinnaswamy Stadium,Dry,42,0,225
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,0,8,226
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Mumbai Indians,Wankhede Stadium,Humid,27,0,227
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,0,5,228
Pune Warriors,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,0,7,229
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Kolkata Knight Riders,Eden Gardens,Humid,0,5,230
Chennai Super Kings,Pune Warriors,Chennai Super Kings,Bat,Pune Warriors,Subrata Roy Sahara Stadium,Dry,0,7,231
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kings XI Punjab,Eden Gardens,Sunny,2,0,232
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Rajasthan Royals,M Chinnaswamy Stadium,Sunny,59,0,233
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Wankhede Stadium,Dry,0,7,234
Pune Warriors,Royal Challengers Bangalore,Pune Warriors,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,0,6,235
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Kolkata Knight Riders,Punjab Cricket Association Stadium,Humid,0,8,236
Chennai Super Kings,Pune Warriors,Pune Warriors,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,13,0,237
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Dry,0,5,238
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,0,7,239
Pune Warriors,Delhi Daredevils,Delhi Daredevils,Field,Pune Warriors,Feroz Shah Kotla,Dry,20,0,240
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Kings XI Punjab,Wankhede Stadium,Dry,0,6,241
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Royal Challengers Bangalore,Sawai Mansingh Stadium,Humid,46,0,242
Pune Warriors,Delhi Daredevils,Pune Warriors,Bat,Delhi Daredevils,Subrata Roy Sahara Stadium,Dry,0,8,243
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Mumbai Indians,Punjab Cricket Association Stadium,Dry,0,4,244
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Field,Delhi Daredevils,Feroz Shah Kotla,Dry,37,0,245
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Kings XI Punjab,MA Chidambaram Stadium,Sunny,7,0,246
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,47,0,247
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,1,0,248
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Kolkata Knight Riders,MA Chidambaram Stadium,Dry,0,5,249
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Delhi Daredevils,Sawai Mansingh Stadium,Sunny,0,6,250
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,M Chinnaswamy Stadium,Dry,0,4,251
Mumbai Indians,Pune Warriors,Mumbai Indians,Bat,Mumbai Indians,Subrata Roy Sahara Stadium,Dry,1,0,252
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Eden Gardens,Dry,7,0,253
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Bat,Rajasthan Royals,Punjab Cricket Association Stadium,Humid,43,0,254
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Dry,0,2,255
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Kolkata Knight Riders,Feroz Shah Kotla,Humid,0,6,256
Pune Warriors,Rajasthan Royals,Pune Warriors,Bat,Rajasthan Royals,Subrata Roy Sahara Stadium,Humid,0,7,257
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Wankhede Stadium,Humid,0,9,258
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Sawai Mansingh Stadium,Humid,0,4,259
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Field,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Humid,35,0,260
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Mumbai Indians,Eden Gardens,Dry,27,0,261
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,0,9,262
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Dry,45,0,263
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,M Chinnaswamy Stadium,Dry,0,5,264
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Eden Gardens,Humid,0,5,265
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Delhi Daredevils,Feroz Shah Kotla,Dry,0,5,266
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Kolkata Knight Riders,Wankhede Stadium,Dry,32,0,267
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dry,0,6,268
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Royal Challengers Bangalore,Feroz Shah Kotla,Dry,21,0,269
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Sunny,0,6,270
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Humid,34,0,271
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Mumbai Indians,Sawai Mansingh Stadium,Dry,0,10,272
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Sunny,18,0,273
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,38,0,274
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,86,0,275
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Kolkata Knight Riders,MA Chidambaram Stadium,Humid,0,5,276
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Humid,0,6,277
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,2,0,278
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,22,0,279
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Rajasthan Royals,Feroz Shah Kotla,Humid,5,0,280
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Mumbai Indians,MA Chidambaram Stadium,Humid,9,0,281
Pune Warriors,Kings XI Punjab,Pune Warriors,Bat,Kings XI Punjab,Subrata Roy Sahara Stadium,Humid,0,8,282
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,0,0,283
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,19,0,284
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Humid,44,0,285
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Punjab Cricket Association Stadium,Humid,0,10,286
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,0,8,287
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Bat,Pune Warriors,Subrata Roy Sahara Stadium,Humid,0,7,288
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Sunrisers Hyderabad,Feroz Shah Kotla,Humid,0,3,289
Mumbai Indians,Pune Warriors,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Humid,41,0,290
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,0,4,291
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Eden Gardens,Humid,48,0,292
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,6,293
Pune Warriors,Chennai Super Kings,Pune Warriors,Bat,Pune Warriors,MA Chidambaram Stadium,Humid,24,0,294
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,4,0,295
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,0,296
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Field,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,Humid,11,0,297
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,87,0,298
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Chennai Super Kings,Feroz Shah Kotla,Humid,86,0,299
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,0,5,300
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Chennai Super Kings,Eden Gardens,Humid,0,4,301
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,7,302
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,0,9,303
Pune Warriors,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,0,7,304
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,0,5,305
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,130,0,306
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Humid,7,0,307
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Mumbai Indians,Eden Gardens,Sunny,0,5,308
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,0,5,309
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Kolkata Knight Riders,Eden Gardens,Humid,0,6,310
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,8,311
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Humid,58,0,312
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,14,0,313
Delhi Daredevils,Pune Warriors,Pune Warriors,Field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Humid,15,0,314
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,4,315
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Humid,4,0,316
Chennai Super Kings,Pune Warriors,Chennai Super Kings,Bat,Chennai Super Kings,Subrata Roy Sahara Stadium,Humid,37,0,317
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,0,7,318
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Humid,0,7,319
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,15,0,320
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Sunny,17,0,321
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Kolkata Knight Riders,Eden Gardens,Humid,0,8,322
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,0,6,323
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,M Chinnaswamy Stadium,Humid,0,7,324
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Humid,60,0,325
Pune Warriors,Rajasthan Royals,Pune Warriors,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,5,326
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,7,327
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,9,328
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Humid,65,0,329
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Chennai Super Kings,Rajiv Gandhi International Stadium,Humid,77,0,330
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Punjab Cricket Association Stadium,Humid,0,8,331
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Humid,46,0,332
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Royal Challengers Bangalore,Feroz Shah Kotla,Humid,4,0,333
Pune Warriors,Mumbai Indians,Pune Warriors,Bat,Mumbai Indians,Subrata Roy Sahara Stadium,Humid,0,5,334
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Sunny,30,0,335
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,JSCA International Stadium Complex,Sunny,0,5,336
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,5,337
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Feroz Shah Kotla,Sunny,0,5,338
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,Mumbai Indians,Wankhede Stadium,Humid,0,7,339
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Field,Pune Warriors,JSCA International Stadium Complex,Sunny,7,0,340
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,33,0,341
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Mumbai Indians,Wankhede Stadium,Sunny,14,0,342
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,0,6,343
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,23,0,344
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Humid,50,0,345
Pune Warriors,Delhi Daredevils,Pune Warriors,Bat,Pune Warriors,Subrata Roy Sahara Stadium,Sunny,38,0,346
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,24,0,347
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,0,5,348
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Chennai Super Kings,Feroz Shah Kotla,Humid,48,0,349
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Rajasthan Royals,Feroz Shah Kotla,Humid,0,4,350
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Mumbai Indians,Eden Gardens,Humid,0,4,351
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Mumbai Indians,Eden Gardens,Sunny,23,0,352
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Sheikh Zayed Stadium,Sunny,41,0,353
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Sharjah Cricket Stadium,Sunny,0,8,354
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Kings XI Punjab,Sheikh Zayed Stadium,Humid,0,6,355
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sheikh Zayed Stadium,Sunny,0,4,356
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunny,0,7,357
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Delhi Daredevils,Dubai International Cricket Stadium,Humid,0,4,358
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Sharjah Cricket Stadium,Humid,0,7,359
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Chennai Super Kings,Sheikh Zayed Stadium,Humid,93,0,360
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Kings XI Punjab,Sharjah Cricket Stadium,Humid,72,0,361
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Chennai Super Kings,Dubai International Cricket Stadium,Humid,7,0,362
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Kolkata Knight Riders,Sharjah Cricket Stadium,Humid,2,0,363
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunny,4,0,364
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Chennai Super Kings,Dubai International Cricket Stadium,Humid,0,7,365
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sheikh Zayed Stadium,Sunny,0,6,366
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kings XI Punjab,Sheikh Zayed Stadium,Humid,23,0,367
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Delhi Daredevils,Sharjah Cricket Stadium,Sunny,0,6,368
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat,Chennai Super Kings,Sharjah Cricket Stadium,Sunny,0,5,369
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Dubai International Cricket Stadium,Humid,0,5,370
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Rajasthan Royals,Sheikh Zayed Stadium,Humid,0,0,371
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunny,15,0,372
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Chennai Super Kings,JSCA International Stadium Complex,Sunny,34,0,373
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Mumbai Indians,Wankhede Stadium,Humid,0,5,374
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Feroz Shah Kotla,Sunny,0,7,375
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,0,4,376
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Rajasthan Royals,Sardar Patel Stadium,Humid,10,0,377
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Feroz Shah Kotla,Humid,0,8,378
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Mumbai Indians,Wankhede Stadium,Humid,19,0,379
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Kolkata Knight Riders,Feroz Shah Kotla,Humid,0,8,380
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Kings XI Punjab,BaraBati Stadium,Humid,44,0,381
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Sunrisers Hyderabad,Sardar Patel Stadium,Humid,32,0,382
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Kings XI Punjab,M Chinnaswamy Stadium,Humid,32,0,383
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Feroz Shah Kotla,Humid,0,8,384
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Wankhede Stadium,Humid,0,4,385
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,BaraBati Stadium,Humid,0,9,386
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Rajasthan Royals,M Chinnaswamy Stadium,Humid,0,5,387
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,Mumbai Indians,Rajiv Gandhi International Stadium,Humid,0,7,388
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Chennai Super Kings,JSCA International Stadium Complex,Humid,0,5,389
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,16,0,390
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Rajiv Gandhi International Stadium,Sunny,0,6,391
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,BaraBati Stadium,Sunny,0,6,392
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field,Rajasthan Royals,Sardar Patel Stadium,Humid,62,0,393
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Royal Challengers Bangalore,JSCA International Stadium Complex,Sunny,0,5,394
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Sunny,0,7,395
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Mumbai Indians,Sardar Patel Stadium,Sunny,25,0,396
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Feroz Shah Kotla,Sunny,0,4,397
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,0,7,398
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Humid,0,8,399
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Punjab Cricket Association Stadium,Sunny,0,7,400
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Kolkata Knight Riders,Eden Gardens,Sunny,30,0,401
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,JSCA International Stadium Complex,Sunny,0,6,402
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Mumbai Indians,Wankhede Stadium,Sunny,15,0,403
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,16,0,404
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,0,8,405
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Sunny,0,4,406
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,0,7,407
